timestamp,bpm,quality,source,restorative
2023-08-12T20:29:48.000Z,92,good,awake,False
2023-08-12T20:35:02.000Z,112,good,awake,False
2023-08-12T20:35:31.000Z,90,good,awake,False
2023-08-12T20:35:32.000Z,86,good,awake,False
2023-08-12T20:45:25.000Z,68,good,awake,False
2023-08-12T20:45:31.000Z,59,good,awake,False
2023-08-12T20:45:42.000Z,76,good,awake,False
2023-08-12T20:50:19.000Z,83,average,awake,False
2023-08-12T20:50:32.000Z,74,average,awake,False
2023-08-12T20:50:38.000Z,98,average,awake,False
2023-08-12T20:55:42.000Z,103,good,awake,False
2023-08-12T20:55:53.000Z,100,good,awake,False
2023-08-12T20:55:55.000Z,98,good,awake,False
2023-08-12T21:11:29.000Z,91,good,awake,False
2023-08-12T21:11:33.000Z,89,good,awake,False
2023-08-12T21:11:35.000Z,86,good,awake,False
2023-08-12T21:16:38.000Z,70,bad,awake,False
2023-08-12T21:16:45.000Z,96,bad,awake,False
2023-08-12T21:17:13.000Z,80,bad,awake,False
2023-08-12T21:35:30.000Z,82,good,awake,False
2023-08-12T21:35:32.000Z,79,good,awake,False
2023-08-12T21:35:43.000Z,77,good,awake,False
2023-08-12T21:40:50.000Z,73,good,awake,False
2023-08-12T21:40:54.000Z,78,good,awake,False
2023-08-12T21:40:55.000Z,80,good,awake,False
2023-08-12T21:56:56.000Z,73,good,awake,False
2023-08-12T21:57:00.000Z,80,good,awake,False
2023-08-12T21:57:04.000Z,91,good,awake,False
2023-08-12T22:02:13.000Z,68,average,awake,False
2023-08-12T22:02:18.000Z,82,average,awake,False
2023-08-12T22:07:01.000Z,89,good,awake,False
2023-08-12T22:07:04.000Z,80,good,awake,False
2023-08-12T22:07:10.000Z,81,good,awake,False
2023-08-12T22:12:47.000Z,92,bad,awake,False
2023-08-12T22:12:49.000Z,91,bad,awake,False
2023-08-12T22:13:01.000Z,88,bad,awake,False
2023-08-12T22:19:10.000Z,86,average,awake,False
2023-08-12T22:19:23.000Z,127,average,awake,False
2023-08-12T22:19:36.000Z,80,average,awake,False
2023-08-12T22:29:39.000Z,77,good,awake,False
2023-08-12T22:30:01.000Z,82,good,awake,False
2023-08-12T22:30:05.000Z,83,good,awake,False
2023-08-12T22:34:39.000Z,97,bad,awake,False
2023-08-12T22:34:46.000Z,95,bad,awake,False
2023-08-12T22:35:18.000Z,93,bad,awake,False
2023-08-12T22:40:11.000Z,77,average,awake,False
2023-08-12T22:40:21.000Z,72,average,awake,False
2023-08-12T22:45:53.000Z,52,bad,awake,False
2023-08-12T22:46:17.000Z,64,bad,awake,False
2023-08-12T22:46:20.000Z,56,bad,awake,False
2023-08-12T23:20:46.000Z,79,good,awake,False
2023-08-12T23:20:47.000Z,82,good,awake,False
2023-08-12T23:20:52.000Z,88,good,awake,False
2023-08-12T23:26:06.000Z,79,good,awake,False
2023-08-12T23:26:30.000Z,86,good,awake,False
2023-08-12T23:26:31.000Z,88,good,awake,False
2023-08-12T23:32:32.000Z,81,average,awake,False
2023-08-12T23:32:34.000Z,81,average,awake,False
2023-08-12T23:53:35.000Z,82,average,awake,False
2023-08-12T23:53:53.000Z,84,average,awake,False
2023-08-12T23:53:54.000Z,79,average,awake,False
2023-08-13T00:03:43.000Z,80,good,awake,False
2023-08-13T00:03:44.000Z,84,good,awake,False
2023-08-13T00:03:46.000Z,89,good,awake,False
2023-08-13T00:15:20.000Z,65,good,awake,False
2023-08-13T00:15:26.000Z,74,good,awake,False
2023-08-13T00:15:27.000Z,73,good,awake,False
2023-08-13T00:20:30.000Z,83,average,awake,False
2023-08-13T00:20:31.000Z,87,average,awake,False
2023-08-13T00:20:33.000Z,88,average,awake,False
2023-08-13T00:31:11.000Z,87,good,awake,False
2023-08-13T00:31:12.000Z,82,good,awake,False
2023-08-13T00:31:14.000Z,80,good,awake,False
2023-08-13T00:36:14.000Z,77,good,awake,False
2023-08-13T00:36:19.000Z,81,good,awake,False
2023-08-13T00:36:24.000Z,83,good,awake,False
2023-08-13T00:41:05.000Z,74,average,awake,False
2023-08-13T00:41:07.000Z,66,average,awake,False
2023-08-13T00:41:28.000Z,80,average,awake,False
2023-08-13T00:52:07.000Z,78,average,awake,False
2023-08-13T00:52:09.000Z,75,average,awake,False
2023-08-13T00:52:18.000Z,81,average,awake,False
2023-08-13T01:00:20.000Z,93,good,awake,False
2023-08-13T01:00:21.000Z,95,good,awake,False
2023-08-13T01:13:03.000Z,105,bad,awake,False
2023-08-13T01:13:10.000Z,88,bad,awake,False
2023-08-13T01:13:23.000Z,94,bad,awake,False
2023-08-13T01:18:19.000Z,72,good,awake,False
2023-08-13T01:18:26.000Z,70,good,awake,False
2023-08-13T01:18:37.000Z,74,good,awake,False
2023-08-13T01:23:18.000Z,80,bad,awake,False
2023-08-13T01:24:00.000Z,83,bad,awake,False
2023-08-13T01:24:02.000Z,78,bad,awake,False
2023-08-13T01:33:52.000Z,89,good,awake,False
2023-08-13T01:33:54.000Z,75,good,awake,False
2023-08-13T01:33:56.000Z,71,good,awake,False
2023-08-13T01:39:25.000Z,84,good,awake,False
2023-08-13T01:39:40.000Z,89,good,awake,False
2023-08-13T01:39:42.000Z,87,good,awake,False
2023-08-13T01:44:32.000Z,89,good,awake,False
2023-08-13T01:44:58.000Z,83,good,awake,False
2023-08-13T01:45:00.000Z,87,good,awake,False
2023-08-13T01:56:24.000Z,82,bad,awake,False
2023-08-13T01:56:25.000Z,71,bad,awake,False
